,Abbr,Country,Category,LifeExpectancy,Population
0,JPN,JAPAN,developed,84.2,126451398.0
1,CHE,SWITZERLAND,developed,83.3,8236303.0
2,ESP,SPAIN,developed,83.1,48958159.0
3,SGP,SINGAPORE,developed,82.9,5888926.0
4,FRA,FRANCE,developed,82.9,67106161.0
5,AUS,AUSTRALIA,developed,82.9,23232413.0
6,CAN,CANADA,developed,82.8,35623680.0
7,ITA,ITALY,developed,82.8,62137802.0
8,KOR,SOUTH KOREA,developed,82.7,51181299.0
9,NOR,NORWAY,developed,82.5,5320045.0
10,LUX,LUXEMBOURG,developed,82.4,594130.0
11,ISL,ICELAND,developed,82.4,339747.0
12,SWE,SWEDEN,developed,82.4,9960487.0
13,ISR,ISRAEL,developed,82.3,8299706.0
14,NZL,NEW ZEALAND,developed,82.2,4510327.0
15,AUT,AUSTRIA,developed,81.9,8754413.0
16,NLD,NETHERLANDS,developed,81.6,17084719.0
17,IRL,REPUBLIC OF IRELAND,developed,81.5,5011102.0
18,PRT,PORTUGAL,developed,81.5,10839514.0
19,MLT,MALTA,developed,81.5,416338.0
20,FIN,FINLAND,developed,81.4,5518371.0
21,GBR,UNITED KINGDOM,developed,81.4,64769452.0
22,DNK,DENMARK,developed,81.2,5605948.0
23,BEL,BELGIUM,developed,81.2,11491346.0
24,GRC,GREECE,developed,81.2,10768477.0
25,DEU,GERMANY,developed,81,80594017.0
26,SVN,SLOVENIA,developed,80.9,1972126.0
27,CYP,CYPRUS,developed,80.7,1221549.0
28,CRI,COSTA RICA,developing,79.6,4930258.0
29,CHL,CHILE,developing,79.5,17789267.0
30,CZE,CZECH REPUBLIC,developed,79.2,10674723.0
31,BHR,BAHRAIN,developing,79.1,1410942.0
32,CUB,CUBA,developing,79,11147407.0
33,USA,UNITED STATES,developed,78.5,326625791.0
34,MDV,MALDIVES,developing,78.4,392709.0
35,HRV,CROATIA,developing,78.3,4292095.0
36,QAT,QATAR,developing,78.1,2314307.0
37,PAN,PANAMA,developing,78,3753142.0
38,EST,ESTONIA,developed,77.8,1251581.0
39,POL,POLAND,developing,77.8,38476269.0
40,SVK,SLOVAKIA,developed,77.4,5445829.0
41,BIH,BOSNIA AND HERZEGOVINA,developing,77.3,3856181.0
42,ARE,UNITED ARAB EMIRATES,developed,77.2,6072475.0
43,URY,URUGUAY,developing,77.1,3360148.0
44,OMN,OMAN,developing,77,3424386.0
45,ARG,ARGENTINA,developing,76.9,44293293.0
46,MNE,MONTENEGRO,developing,76.8,642550.0
47,MEX,MEXICO,developing,76.6,124574795.0
48,ECU,ECUADOR,developing,76.5,16290913.0
49,BRN,BRUNEI,developing,76.4,443593.0
50,CHN,CHINA,developing,76.4,1379302771.0
51,TUR,TURKEY,developing,76.4,80845215.0
52,ALB,ALBANIA,developing,76.4,3047987.0
53,DZA,ALGERIA,developing,76.4,40969443.0
54,VNM,VIETNAM,developing,76.3,96160163.0
55,SRB,SERBIA,developing,76.3,7111024.0
56,LBN,LEBANON,developing,76.3,6229794.0
57,TUN,TUNISIA,developing,76,11403800.0
58,JAM,JAMAICA,developing,76,2990561.0
59,HUN,HUNGARY,developing,76,9850845.0
60,MAR,MOROCCO,developing,76,33986655.0
61,PER,PERU,developing,75.9,31036656.0
62,MKD,NORTH MACEDONIA,developing,75.9,2103721.0
63,IRN,IRAN,developing,75.7,82021564.0
64,BHS,THE BAHAMAS,developing,75.7,329988.0
65,LCA,SAINT LUCIA,developing,75.6,164994.0
66,BRB,BARBADOS,developing,75.6,292336.0
67,NIC,NICARAGUA,developing,75.5,6025951.0
68,THA,THAILAND,developing,75.5,68414135.0
69,LKA,SRI LANKA,developing,75.3,22409381.0
70,MYS,MALAYSIA,developing,75.3,31381992.0
71,ROU,ROMANIA,developing,75.2,21529967.0
72,HND,HONDURAS,developing,75.2,9038741.0
73,BRA,BRAZIL,developing,75.1,207353391.0
74,COL,COLOMBIA,developing,75.1,47698524.0
75,WSM,SAMOA,developing,75.1,200108.0
76,LTU,LITHUANIA,developed,75,2823859.0
77,ATG,ANTIGUA AND BARBUDA,developing,75,94731.0
78,LVA,LATVIA,developed,75,1944643.0
79,BGR,BULGARIA,developing,74.8,7101510.0
80,ARM,ARMENIA,developing,74.8,3045191.0
81,MUS,MAURITIUS,developing,74.8,1356388.0
82,KWT,KUWAIT,developing,74.8,2875422.0
83,SAU,SAUDI ARABIA,developing,74.8,28571770.0
84,JOR,JORDAN,developing,74.3,10248069.0
85,PRY,PARAGUAY,developing,74.2,6943739.0
86,BLR,BELARUS,developing,74.2,9549747.0
87,VEN,VENEZUELA,developing,74.1,31304016.0
88,SLV,EL SALVADOR,developing,73.7,6172011.0
89,DOM,DOMINICAN REPUBLIC,developing,73.5,10734247.0
90,TON,TONGA,developing,73.4,106479.0
91,GRD,GRENADA,developing,73.4,111724.0
92,SYC,SEYCHELLES,developing,73.3,93920.0
93,GTM,GUATEMALA,developing,73.2,15460732.0
94,CPV,CAPE VERDE,developing,73.2,560899.0
95,AZE,AZERBAIJAN,developing,73.1,9961396.0
96,BGD,BANGLADESH,underdeveloped,72.7,157826578.0
97,GEO,GEORGIA (COUNTRY),developing,72.6,4926330.0
98,UKR,UKRAINE,developing,72.5,44033874.0
99,UZB,UZBEKISTAN,developing,72.3,29748859.0
100,VUT,VANUATU,underdeveloped,72,282814.0
101,VCT,SAINT VINCENT AND THE GRENADINES,developing,72,102089.0
102,PRK,NORTH KOREA,underdeveloped,71.9,25248140.0
103,LBY,LIBYA,developing,71.9,6653210.0
104,RUS,RUSSIA,developing,71.9,142257519.0
105,TTO,TRINIDAD AND TOBAGO,developing,71.8,1218208.0
106,SUR,SURINAME,developing,71.8,591919.0
107,BOL,BOLIVIA,developing,71.5,11138234.0
108,MDA,MOLDOVA,developing,71.5,3474121.0
109,KGZ,KYRGYZSTAN,developing,71.4,5789122.0
110,KAZ,KAZAKHSTAN,developing,71.1,18556698.0
111,SLB,SOLOMON ISLANDS,underdeveloped,71.1,647581.0
112,TJK,TAJIKISTAN,developing,70.8,8468555.0
113,BTN,BHUTAN,underdeveloped,70.6,758288.0
114,EGY,EGYPT,developing,70.5,97041072.0
115,BLZ,BELIZE,developing,70.5,360346.0
116,NPL,NEPAL,underdeveloped,70.2,29384297.0
117,FJI,FIJI,developing,69.9,920938.0
118,IRQ,IRAQ,developing,69.8,39192111.0
119,MNG,MONGOLIA,developing,69.8,3068243.0
120,FSM,FEDERATED STATES OF MICRONESIA,developing,69.6,104196.0
121,KHM,CAMBODIA,underdeveloped,69.4,16204486.0
122,PHL,PHILIPPINES,developing,69.3,104256076.0
123,IDN,INDONESIA,developing,69.3,260580739.0
124,IND,INDIA,developing,68.8,1281935911.0
125,STP,SÃO TOMÉ AND PRÍNCIPE,underdeveloped,68.7,201025.0
126,TLS,EAST TIMOR,underdeveloped,68.6,1291358.0
127,TKM,TURKMENISTAN,developing,68.2,5351277.0
128,RWA,RWANDA,underdeveloped,68,11901484.0
129,MMR,MYANMAR,underdeveloped,66.8,55123814.0
130,SEN,SENEGAL,underdeveloped,66.8,14668522.0
131,KEN,KENYA,developing,66.7,47615739.0
132,PAK,PAKISTAN,developing,66.5,204924861.0
133,GAB,GABON,developing,66.4,1772255.0
134,GUY,GUYANA,developing,66.2,737718.0
135,KIR,KIRIBATI,underdeveloped,66.1,108145.0
136,MDG,MADAGASCAR,underdeveloped,66.1,25054161.0
137,BWA,BOTSWANA,developing,66.1,2214858.0
138,PNG,PAPUA NEW GUINEA,developing,65.9,6909701.0
139,LAO,LAOS,underdeveloped,65.8,7126706.0
140,ETH,ETHIOPIA,underdeveloped,65.5,105350020.0
141,YEM,YEMEN,underdeveloped,65.3,28036829.0
142,SDN,SUDAN,underdeveloped,65.1,37345935.0
143,ERI,ERITREA,underdeveloped,65,5918919.0
144,COG,REPUBLIC OF THE CONGO,developing,64.3,4954674.0
145,MWI,MALAWI,underdeveloped,64.2,19196246.0
146,MRT,MAURITANIA,underdeveloped,63.9,3758571.0
147,TZA,TANZANIA,underdeveloped,63.9,53950935.0
148,COM,COMOROS,underdeveloped,63.9,808080.0
149,DJI,DJIBOUTI,underdeveloped,63.8,865267.0
150,SYR,SYRIA,developing,63.8,18028549.0
151,NAM,NAMIBIA,developing,63.7,2484780.0
152,ZAF,SOUTH AFRICA,developing,63.6,54841552.0
153,HTI,HAITI,underdeveloped,63.5,10646714.0
154,GHA,GHANA,developing,63.4,27499924.0
155,LBR,LIBERIA,underdeveloped,62.9,4689021.0
156,AFG,AFGHANISTAN,underdeveloped,62.7,34124811.0
157,AGO,ANGOLA,underdeveloped,62.6,29310273.0
158,UGA,UGANDA,underdeveloped,62.5,39570125.0
159,ZMB,ZAMBIA,underdeveloped,62.3,15972000.0
160,GMB,THE GAMBIA,underdeveloped,61.9,2051363.0
161,ZWE,ZIMBABWE,developing,61.4,13805084.0
162,BEN,BENIN,underdeveloped,61.1,11038805.0
163,TGO,TOGO,underdeveloped,60.6,7965055.0
164,COD,DEMOCRATIC REPUBLIC OF THE CONGO,underdeveloped,60.5,83301151.0
165,BFA,BURKINA FASO,underdeveloped,60.3,20107509.0
166,MOZ,MOZAMBIQUE,underdeveloped,60.1,26573706.0
167,BDI,BURUNDI,underdeveloped,60.1,11466756.0
168,GNB,GUINEA-BISSAU,underdeveloped,59.8,
169,NER,NIGER,underdeveloped,59.8,19245344.0
170,GIN,GUINEA,underdeveloped,59.8,
171,GNQ,EQUATORIAL GUINEA,developing,59.5,778358.0
172,SSD,SOUTH SUDAN,underdeveloped,58.6,13026129.0
173,CMR,CAMEROON,developing,58.1,24994885.0
174,MLI,MALI,underdeveloped,58,17885245.0
175,SWZ,ESWATINI,developing,57.7,1467152.0
176,SOM,SOMALIA,underdeveloped,55.4,11031386.0
177,NGA,NIGERIA,developing,55.2,190632261.0
178,CIV,IVORY COAST,developing,54.6,24184810.0
179,TCD,CHAD,underdeveloped,54.3,12075985.0
180,SLE,SIERRA LEONE,underdeveloped,53.1,6163195.0
181,CAF,CENTRAL AFRICAN REPUBLIC,underdeveloped,53,5625118.0
182,LSO,LESOTHO,underdeveloped,52.9,1958042.0
183,WLD,WORLD,,,7405122224.0
